"Combined Rank","Movie","Movie ID","Director","Release Year","Letterboxd Rating (/5)","Metacritic (/100)","Average Rating (/10)","Worldwide Box Office (USD)","Budget (USD)","Original Runtime (min)","Oscars Won","Director Career Oscars Won"
"5","Seven Samurai","card_001","Akira Kurosawa","1954","4.6","98.0","9.5","4600000.0","125000000.0","207","2","0"
"15","The Godfather","card_002","Francis Ford Coppola","1972","4.5","100.0","9.5","250341816.0","6000000.0","175","3","3"
"3","12 Angry Men","card_003","Sidney Lumet","1957","4.6","97.0","9.45","1000000.0","350000.0","96","0","0"
"43","Tokyo Story","card_004","Yasujiro Ozu","1953","4.4","100.0","9.4","500000.0","50000.0","136","0","0"
"14","Parasite","card_005","Bong Joon Ho","2019","4.5","96.0","9.3","258110411.0","11400000.0","132","4","3"
"42","Sunset Boulevard","card_006","Billy Wilder","1950","4.4","98.0","9.3","5000000.0","1750000.0","110","3","6"
"46","The Passion of Joan of Arc","card_007","Carl Theodor Dreyer","1928","4.4","98.0","9.3","300000.0","400000.0","82","0","0"
"49","Fanny and Alexander","card_008","Ingmar Bergman","1982","4.3","100.0","9.3","6330000.0","6000000.0","188","4","3"
"66","Lawrence of Arabia","card_009","David Lean","1962","4.3","100.0","9.3","45306425.0","15000000.0","228","7","2"
"96","Rear Window","card_010","Alfred Hitchcock","1954","4.3","100.0","9.3","36764313.0","1000000.0","112","0","0"
"12","Schindler's List","card_011","Steven Spielberg","1993","4.5","95.0","9.25","322161245.0","22000000.0","195","7","3"
"17","Ran","card_012","Akira Kurosawa","1985","4.4","97.0","9.25","4138319.0","11500000.0","162","1","0"
"31","The Battle of Algiers","card_013","Gillo Pontecorvo","1966","4.4","96.0","9.2","962002.0","800000.0","121","0","0"
"35","Spirited Away","card_014","Hayao Miyazaki","2001","4.4","96.0","9.2","395802070.0","19000000.0","125","1","1"
"47","Sansho the Bailiff","card_015","Kenji Mizoguchi","1954","4.3","98.0","9.2","400000.0","150000.0","124","0","0"
"99","All About Eve","card_016","Joseph L. Mankiewicz","1950","4.3","98.0","9.2","8350000.0","1400000.0","138","6","2"
"11","The Lord of the Rings: The Return of the King","card_017","Peter Jackson","2003","4.4","94.0","9.1","1141145920.0","94000000.0","201","11","0"
"13","Yi Yi","card_018","Edward Yang","2000","4.4","94.0","9.1","1500000.0","1200000.0","173","0","0"
"26","Grave of the Fireflies","card_019","Isao Takahata","1988","4.4","94.0","9.1","516962.0","3700000.0","89","0","0"
"41","The Apartment","card_020","Billy Wilder","1960","4.4","94.0","9.1","25000000.0","3000000.0","125","5","6"
"16","Ikiru","card_021","Akira Kurosawa","1952","4.5","91.0","9.05","1000000.0","500000.0","143","0","0"
"36","Andrei Rublev","card_022","Andrei Tarkovsky","1966","4.4","93.0","9.05","2000000.0","1000000.0","183","0","0"
"50","Portrait of a Lady on Fire","card_023","Celine Sciamma","2019","4.3","95.0","9.05","12600000.0","4800000.0","122","0","0"
"90","A Separation","card_024","Asghar Farhadi","2011","4.3","95.0","9.05","22998633.0","500000.0","123","2","2"
"6","High and Low","card_025","Akira Kurosawa","1963","4.5","90.0","9.0","3000000.0","1000000.0","143","0","0"
"7","The Godfather Part II","card_026","Francis Ford Coppola","1974","4.5","90.0","9.0","57300000.0","13000000.0","202","6","3"
"40","Apocalypse Now","card_027","Francis Ford Coppola","1979","4.3","94.0","9.0","150000000.0","31500000.0","147","2","3"
"77","The Lord of the Rings: The Fellowship of the Ring","card_028","Peter Jackson","2001","4.4","92.0","9.0","898204420.0","93000000.0","178","4","0"
"29","There Will Be Blood","card_029","Paul Thomas Anderson","2007","4.3","93.0","8.95","76400000.0","25000000.0","158","2","0"
"65","Do the Right Thing","card_030","Spike Lee","1989","4.3","93.0","8.95","37500000.0","6000000.0","120","0","0"
"18","The Good, the Bad and the Ugly","card_031","Sergio Leone","1966","4.4","90.0","8.9","38900000.0","1200000.0","178","0","0"
